CMO,School Name,Year Open,City,State,Zip,Low Grade,High Grade,,,,,,,,,
Harmony Schools,Harmony Science Acad (Fort Worth),2006,Fort Worth,TX,76133,KG,10,,,,,,,,,
Harmony Schools,Harmony Science Acad (San Antonio),2006,San Antonio,TX,78227,KG,10,,,,,,,,,
Harmony Schools,Harmony Elementary-Austin (Harmony School of Science Austin),2006,Austin,TX,78758,KG,08,,,,,,,,,
Harmony Schools,Harmony School Of Excellence,2006,Houston,TX,77040,KG,10,,,,,,,,,
Harmony Schools,Harmony Science Acad (College Station),2007,Bryan,TX,77802,KG,10,,,,,,,,,
Harmony Schools,Harmony Science Acad (Lubbock),2007,Lubbock,TX,79412,KG,09,,,,,,,,,
Harmony Schools,Harmony Science Acad (Waco),2007,Waco,TX,76710,KG,09,,,,,,,,,
Harmony Schools,Harmony Science Academy - Houston Nw,2007,Houston,TX,77086,KG,09,,,,,,,,,
Harmony Schools,Harmony Science Academy (Beaumont),2007,Beaumont,TX,77706,KG,09,,,,,,,,,
Harmony Schools,Harmony School Of Science - Houston,2008,Sugar Land,TX,77478,PK,08,,,,,,,,,
Harmony Schools,Harmony Science Academy - Brownsville,2008,Brownsville,TX,78520,KG,08,,,,,,,,,
Harmony Schools,Harmony Science Academy - Laredo,2008,Laredo,TX,78041,KG,08,,,,,,,,,
Harmony Schools,Harmony Science Academy Grand Prairie,2008,Grand Prairie,TX,75050,KG,08,,,,,,,,,
High-Tech High,The Gary and Jerri-Ann Jacobs High Tech High Charter School ,2000,San Diego,CA,92106,09,12,,,,,,,,,
High-Tech High,High Tech High Explorer Elementary,2000,San Diego,CA,92106,KG,05,,,,,,,,,
High-Tech High,High Tech Middle,2003,San Diego,CA,92106,06,08,,,,,,,,,
High-Tech High,High Tech High International,2004,San Diego,CA,92106,09,12,,,,,,,,,
High-Tech High,High Tech High Media Arts,2005,San Diego,CA,92106,09,12,,,,,,,,,
High-Tech High,High Tech Middle Media Arts,2005,San Diego,CA,92106,06,08,,,,,,,,,
High-Tech High,High Tech High Chula Vista,2007,Chula Vista,CA,91913,09,10,,,,,,,,,
High-Tech High,High Tech High North County,2007,San Marcos,CA,92078,09,10,,,,,,,,,
Honors Academy,Pinnacle School,1999,Fort Worth,TX,76107,KG,08,,,,,,,,,
Honors Academy,Quest Academy,1999,Dallas,TX,75208,06,12,,,,,,,,,
Honors Academy,Destiny Academy,2000,Dallas,TX,76541,KG,09,,,,,,,,,
Honors Academy,Legacy High School,2000,Kaufman,TX,75124,08,12,,,,,,,,,
Honors Academy,University School,2000,Austin,TX,78712,06,12,,,,,,,,,
Honors Academy,Landmark School,2001,Palestine,TX,75801,08,12,,,,,,,,,
Humanities and Sciences Academy,Humanities And Sciences Institute - Phoenix,1997,Phoenix,AZ,85014,11,12,,,,,,,,,
Humanities and Sciences Academy,International Commerce Institute - Tsaile,1999,Tsaile,AZ,86556,09,12,,,,,,,,,
Humanities and Sciences Academy,Humanities And Sciences Institute - Tempe,2001,Tempe,AZ,85282,11,12,,,,,,,,,
Humanities and Sciences Academy,International Commerce Institute - Tempe,2001,Tempe,AZ,85282,09,12,,,,,,,,,
Humanities and Sciences Academy,Humanities And Sciences Academy Arizona,2001,Tempe,AZ,85282,10,12,,,,,,,,,
Humanities and Sciences Academy,International Commerce Institute - Phoenix,2006,Phoenix,AZ,85014,09,12,,,,,,,,,
Hyde,Hyde Leadership Public Charter School (DC),1999,Washington,DC,20002,PK,12,,,,,,,,,
Hyde,Hyde Leadership Charter School (Bronx),2006,Bronx,NY,10474,,,,,,,,,,,
IDEA,Idea Academy (Donna),2000,San Juan,TX,78589,PK,05,,,,,,,,,
IDEA,Idea College Prep (Donna),2006,Donna,TX,78537,09,12,,,,,,,,,
IDEA,Idea Middle School (Donna),2006,,,,06,08,,,,,,,,,
IDEA,Idea Frontier Academy,2006,Brownsville,TX,78521,PK,04,,,,,,,,,
IDEA,Idea Frontier College Preparatory,2006,Brownsville,TX,78521,06,10,,,,,,,,,
IDEA,Idea Quest Academy,2006,Weslaco,TX,78596,PK,04,,,,,,,,,
IDEA,Idea Quest College Preparatory,2006,Mcallen,TX,78504,06,10,,,,,,,,,
IDEA,Idea Academy Mission,2008,Mission,TX,78572,KG,KG,,,,,,,,,
IDEA,Idea Academy San Benito,2008,San Benito,TX,78586,KG,KG,,,,,,,,,
IDEA,Idea College Preparatory Mission,2008,Mission,TX,78572,06,08,,,,,,,,,
IDEA,Idea College Preparatory San Benito,2008,San Benito,TX,78586,06,08,,,,,,,,,
Imagine Acadmies,Imagine Schools At West Melbourne,1998,Melbourne,FL,32904,KG,08,,,,,,,,,
Imagine Acadmies,Kissimmee Charter Academy,2000,Kissimmee,FL,34744,KG,08,,,,,,,,,
Imagine Acadmies,Chancellor Charter School At Lantana,2001,Lantana,FL,33462,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Charter Elementary School At West Gilbert,2001,Gilbert,AZ,85295,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Charter School At Sierra Vista,2001,Sierra Vista,AZ,85635,KG,08,,,,,,,,,
Imagine Acadmies,Imagine Charter/N Lauderdale,2001,North Lauderdale,FL,33068,KG,05,,,,,,,,,
Imagine Acadmies,Imagine At N Lauderdale Middle School,2002,North Lauderdale,FL,33068,06,08,,,,,,,,,
Imagine Acadmies,Imagine Charter School At Bell Canyon,2002,Phoenix,AZ,85053,KG,08,,,,,,,,,
Imagine Acadmies,Imagine Charter School/Weston,2002,Weston,FL,33327,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Charter Middle School At Cortez Park,2003,Phoenix,AZ,85051,06,08,,,,,,,,,
Imagine Acadmies,Imagine Charter Middle School At West Gilbert,2003,Gilbert,AZ,85295,06,08,,,,,,,,,
Imagine Acadmies,Imagine Charter Elementary School At Cortez Park,2003,Phoenix,AZ,85051,KG,05,,,,,,,,,
Imagine Acadmies,Kennesaw Charter School,2003,Kennesaw,GA,30144,KG,05,,,,,,,,,
Imagine Acadmies,Hope Community Public Charter School - Tolson Campus,2005,Washington,DC,20017,PK,08,,,,,,,,,
Imagine Acadmies,Imagine Charter Elementary School At East Mesa,2005,Mesa,AZ,85209,KG,06,,,,,,,,,
Imagine Acadmies,Imagine Charter Elementary School At Rosefield,2005,Surprise,AZ,85379,KG,05,,,,,,,,,
Imagine Acadmies,South Lake Charter Elementary School,2005,Clermont,FL,34711,KG,08,,,,,,,,,
Imagine Acadmies,Imagine Middle At East Mesa,2006,Mesa,AZ,85209,07,08,,,,,,,,,
Imagine Acadmies,Imagine Middle At Surprise,2006,Surprise,AZ,85379,06,08,,,,,,,,,
Imagine Acadmies,Imagine 100 Academy Of Excellence,2006,Las Vegas,NV,89032,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Elementary At Camelback,2006,Phoenix,AZ,85015,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Elementary At Desert West,2006,Phoenix,AZ,85035,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Elementary At Tempe,2006,Tempe,AZ,85282,KG,07,,,,,,,,,
Imagine Acadmies,Marietta Charter School,2006,Marietta,GA,30064,KG,05, ,,,,,,,,
Imagine Acadmies,Imagine Middle At Camelback,2007,Phoenix,AZ,85015,06,08,,,,,,,,,
Imagine Acadmies,Imagine Middle At Desert West,2007,Phoenix,AZ,85035,06,08,,,,,,,,,
Imagine Acadmies,Lincoln Public Charter School,2007,Marlow Heights,MD,20748,KG,04,,,,,,,,,
Imagine Acadmies,Hope Community Public Charter School - Lamond Campus,2007,Washington,DC,20011,PK,05,,,,,,,,,
Imagine Acadmies,Imagine Academy Of Academic Success,2007,St. Louis,MO,63107,KG,08,,,,,,,,,
Imagine Acadmies,Imagine Academy Of Careers Elementary,2007,St. Louis,MO,63118,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Academy Of Careers Middle,2007,St. Louis,MO,63118,06,08,,,,,,,,,
Imagine Acadmies,Imagine Academy Of Environmental Science And Math,2007,St. Louis,MO,63110,KG,08,,,,,,,,,
Imagine Acadmies,Imagine Charter School At North Manatee,2007,Ellenton,FL,34222,KG,05,,,,,,,,,
Imagine Acadmies,Imagine International Academy Of Mableton,2007,Mableton,GA,30126,KG,08,,,,,,,,,
Imagine Acadmies,Imagine International Academy Of Smyrna,2007,Smyrna,GA,30080,KG,08,,,,,,,,,
Imagine Acadmies,Imagine Master Academy,2007,Fort Wayne,IN,46808,KG,07,,,,,,,,,
Imagine Acadmies,Imagine Renaissance Academy Of Environmental Science & Math - Kensington Campus,2007,Kansas City,MO,64127,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Renaissance Academy Of Environmental Science & Math - Wallace Campus,2007,Kansas City,MO,64125,06,12,,,,,,,,,
Imagine Acadmies,Imagine Wesley International Academy,2007,Atlanta,GA,30316,KG,07,,,,,,,,,
Imagine Acadmies,Imagine-Foundations Public Charter School,2007,Upper Marlboro,MD,20772,KG,03,,,,,,,,,
Imagine Acadmies,Imagine Middle At Coolidge,2008,Coolidge,AZ,85228,06,07,,,,,,,,,
Imagine Acadmies,Imagine Preparatory High School At Surprise,2008,Surprise,AZ,85379,09,10,,,,,,,,,
Imagine Acadmies,Imagine at Lakewood Ranch,2008,Bradenton,FL,34208,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Charter School At Firestone,2008,Firestone,CO,80504,PK,08,,,,,,,,,
Imagine Acadmies,Imagine Charter School at St. Petersburg,2008,St Petersburg,FL,33713,PK,05,,,,,,,,,
Imagine Acadmies,Imagine Charter School Of Broward,2008,Coral Springs,FL,33067,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Classical Academy At Indigo Ranch,2008,Colorado Springs,CO,80908,KG,06,,,,,,,,,
Imagine Acadmies,Imagine College Preparatory High School,2008,St. Louis,MO,63103,09,12,,,,,,,,,
Imagine Acadmies,Imagine Discovery Public Charter School,2008,Baltimore,MD,21207,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Elementary At Avondale,2008,Avondale,AZ,85323,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Elementary At Coolidge,2008,Coolidge,AZ,85228,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Indiana Life Sciences:  Academy East,2008,Indianapolis,IN,46235,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Preparatory High School At Apache Junction,2008,Apache Junction,AZ,85220,09,10,,,,,,,,,
Imagine Acadmies,Imagine School At Evening Rose,2008,Tallahassee,FL,32308,KG,06,,,,,,,,,
Imagine Acadmies,Imagine School At Land O' Lakes,2008,Lutz,FL,33558,KG,06,,,,,,,,,
Imagine Acadmies,Imagine School At North Port,2008,North Port,FL,34289,KG,06,,,,,,,,,
Imagine Acadmies,Imagine School at Town Center,2008,Palm Coast,FL,32164,KG,08,,,,,,,,,
Imagine Acadmies,Imagine School In The Valle,2008,Las Vegas,NV,89129,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Schools At South Vero,2008,Vero Beach,FL,32966,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Schools On Broadway,2008,Fort Wayne,IN,46807,KG,05,,,,,,,,,
Imagine Acadmies,Imagine Southeast Public Charter School,2008,Washington,DC,20032,PK,03,,,,,,,,,
Inner City Education Foundation,View Park Preparatory Accelerated Elementary,1999,Los Angeles,CA,90043,KG,05,,,,,,,,,
Inner City Education Foundation,View Park Preparatory Accelerated Middle,2002,Los Angeles,CA,90043,05,08,,,,,,,,,
Inner City Education Foundation,View Park Preparatory Accelerated High,2003,Los Angeles,CA,90043,09,12,,,,,,,,,
Inner City Education Foundation,Frederick Douglas High School,2006,Los Angeles,CA,90018,09,11,,,,,,,,,
Inner City Education Foundation,Frederick Douglas Middle School,2006,Los Angeles,CA,90043,06,08,,,,,,,,,
Inner City Education Foundation,Lou Dantzler Preparatory Charter High,2007,Los Angeles,CA,90016,09,10,,,,,,,,,
Inner City Education Foundation,Lou Dantzler Preparatory Charter Middle,2007,Los Angeles,CA,90037,06,08,,,,,,,,,
Inner City Education Foundation,Thurgood Marshall Charter High,2007,Los Angeles,CA,90003,09,10,,,,,,,,,
Inner City Education Foundation,Thurgood Marshall Charter Middle,2007,Los Angeles,CA,90007,06,07,,,,,,,,,
Inner City Education Foundation,Frederick Douglass Elementary,2008,,,,,,,,,,,,,,
Inner City Education Foundation,Icef Vista Elementary Academy,2008,Los Angeles,CA,90066,KG,05,,,,,,,,,
Inner City Education Foundation,Icef Vista Middle Academy,2008,Los Angeles,CA,90066,06,08,,,,,,,,,
Inner City Education Foundation,Lou Dantzler Preparatory Charter Elementary,2008,Los Angeles,CA,90037,KG,01,,,,,,,,,
King/Chavez Preparatory Academies,King/Chavez Academy Of Excellence,2001,San Diego,CA,92102,KG,08,,,,,,,,,
King/Chavez Preparatory Academies,King/Chavez Arts Academy,2005,San Diego,CA,92102,03,05,,,,,,,,,
King/Chavez Preparatory Academies,King/Chavez Athletics Academy,2005,San Diego,CA,92102,KG,05,,,,,,,,,
King/Chavez Preparatory Academies,King/Chavez Primary Academy,2005,San Diego,CA,92102,KG,03,,,,,,,,,
King/Chavez Preparatory Academies,King/Chavez Preparatory Academy,2006,San Diego,CA,92102,06,08,,,,,,,,,
Kingman Academies,Kingman Academy Of Learning - Intermediate School,1995,Kingman,AZ,86409,03,06,,,,,,,,,
Kingman Academies,Kingman Academy Of Learning - Middle School,1996,Kingman,AZ,86409,06,08,,,,,,,,,
Kingman Academies,Kingman Academy Of Learning - Primary School,1997,Kingman,AZ,86409,KG,02,,,,,,,,,
Kingman Academies,Kingman Academy Of Learning - High School,2001,Kingman,AZ,86409,09,12,,,,,,,,,
KIPP Bay Area,KIPP Bayview Academy,2003,San Francisco,CA,94124,05,08,,,,,,,,,
KIPP Bay Area,KIPP San Francisco Bay Academy,2003,San Francisco,CA,94115,05,08,,,,,,,,,
KIPP Bay Area,KIPP Heartwood Academy,2004,San Jose,CA,95122,05,08,,,,,,,,,
KIPP Bay Area,KIPP Summit Academy,2006,San Lorenzo,CA,94580,05,08,,,,,,,,,
KIPP Bay Area,KIPP Bridge Charter,2007,Oakland,CA,94607,05,08,,,,,,,,,
KIPP Bay Area,KIPP King Collegiate High,2007,San Lorenzo,CA,94580,09,10,,,,,,,,,
KIPP Bay Area,KIPP San Jose Collegiate,2008,San Jose,CA,95133,09,09,,,,,,,,,
KIPP DC,KIPP - Dc Aim Campus,2002,Washington,DC,20020,05,08,,,,,,,,,
KIPP DC,KIPP - Dc Key,2007,Washington,DC,20019,05,08,,,,,,,,,
KIPP DC,KIPP - Dc Leap,2007,Washington,DC,20019,PK,KG,,,,,,,,,
KIPP DC,KIPP - Dc Will Academy,2007,Washington,DC,20001,05,07,,,,,,,,,
KIPP Houston,KIPP Academy Middle School And High School,1995,Houston,TX,77099,06,08,,,,,,,,,
KIPP Houston,KIPP Houston High School,2004,Houston,TX,77099,09,12,,,,,,,,,
KIPP Houston,KIPP 3D Academy,2005,Houston,TX,77016,06,08,,,,,,,,,
KIPP Houston,KIPP Liberation College Prep,2006,Houston,TX,77054,05,05,,,,,,,,,
KIPP Houston,KIPP Ne Lower School Dream,2006,Houston,TX,77016,PK,05,,,,,,,,,
KIPP Houston,KIPP Spirit College Prep,2006,Houston,TX,77047,05,05,,,,,,,,,
KIPP Houston,KIPP Sw Lower School Shine,2006,Houston,TX,77099,PK,05,,,,,,,,,
KIPP Houston,KIPP Polaris Academy For Boys,2007,Houston,TX,77078,06,06,,,,,,,,,
KIPP Houston,KIPP Sharpstown College Preparatory,2007,Houston,TX,77063,06,06,,,,,,,,,
KIPP Houston,KIPP East End (KIPP Intrepid),2008,Houston,TX,77023,05,05,,,,,,,,,
KIPP Houston,KIPP Gulfton Lower School (KIPP SHARP College Prep),2008,Houston,TX,77099,PK,05,,,,,,,,,
KIPP New Orleans,KIPP Believe College Prep,2006,New Orleans,LA,70118,04,07,,,,,,,,,
KIPP New Orleans,Mcdonogh #15: A KIPP Transformation School (Elementary),2006,New Orleans,LA,70116,PK,04,,,,,,,,,
KIPP New Orleans,Mcdonogh #15: A KIPP Transformation School (Middle),2006,New Orleans,LA,70116,05,08,,,,,,,,,
KIPP New Orleans,KIPP Believe Academy,2007,New Orleans,LA,70118,04,06,,,,,,,,,
KIPP New Orleans,KIPP Central City Primary,2007,New Orleans,LA,70116,KG,KG,,,,,,,,,
KIPP NYC,KIPP Academy Charter School,2001,Bronx,NY,10451,,,,,,,,,,,
KIPP NYC,KIPP S.T.A.R. Charter School,2003,New York,NY,10027,,,,,,,,,,,
KIPP NYC,KIPP Always Mentally Prepared Charter School,2005,Brooklyn,NY,11213,,,,,,,,,,,
KIPP NYC,KIPP Infinity Charter School,2005,New York,NY,10027,,,,,,,,,,,
KIPP TEAM,Team Academy Charter School,2002,Newark,NJ,07112,,,,,,,,,,,
KIPP TEAM,Team: Rise Academy Campus,2006,Newark,NJ,07103,,,,,,,,,,,
KIPP TEAM,Team: Newark Collegiate Academy Campus,2007,Newark,NJ,07103,,,,,,,,,,,
Leadership Public Schools,Leadership Public Schools: Richmond,2003,Richmond,CA,94801,09,12,,,,,,,,,
Leadership Public Schools,Leadership Public Schools - San Jose,2004,San Jose,CA,95122,09,12,,,,,,,,,
Leadership Public Schools,Leadership Public Schools: College Park,2005,Oakland,CA,94605,09,12,,,,,,,,,
Leadership Public Schools,Leadership Public Schools - Hayward,2006,Hayward,CA,94545,09,12,,,,,,,,,
Leading Edge,Leading Edge Academy - Gilbert Campus,2003,Gilbert,AZ,85234,KG,06,,,,,,,,,
Leading Edge,Leading Edge Academy High School,2004,Gilbert,AZ,85234,07,12,,,,,,,,,
Leading Edge,Leading Edge Academy - Queen Creek,2005,Queen Creek,AZ,85242,KG,08,,,,,,,,,
Leading Edge,Leading Edge Academy - East Mesa,2007,Mesa,AZ,85208,KG,06,,,,,,,,,
Lighthouse Academies,Bronx Lighthouse Charter School,2004,Bronx,NY,10459,,,,,,,,,,,
Lighthouse Academies,Gary Lighthouse Charter School,2005,Gary,IN,46408,KG,08,,,,,,,,,
Lighthouse Academies,Indianapolis Lighthouse Charter School,2005,Indianapolis,IN,46203,PK,08,,,,,,,,,
Lighthouse Academies,Potomac Lighthouse Charter School,2005,Washington,DC,20017,PK,06,,,,,,,,,
Lighthouse Academies,Cleveland Lighthouse Community School (Unaffiliated after 2007),2005,Cleveland,OH,44114,KG,04,,,,,,,,,
Lighthouse Academies,Bronzeville Lighthouse Elem Chrtr,2006,Chicago,IL,60609,KG,07,,,,,,,,,
Lighthouse Academies,East Chicago Lighthouse Charter,2006,Chicago,IN,46312,KG,06,,,,,,,,,
Lighthouse Academies,West Gary Lighthouse Charter,2006,Gary,IN,46406,KG,07,,,,,,,,,
Lighthouse Academies,Monument Lighthouse Charter School,2007,Indianapolis,IN,46226,KG,07,,,,,,,,,
Lighthouse Academies,Villaview Lighthouse Community School (Unaffiliated after 2007),2007,Cleveland,OH,44119,05,07,,,,,,,,,
Magnolia,Magnolia Science Academy 1 Reseda,2002,Reseda,CA,91335,06,12,,,,,,,,,
Magnolia,Momentum Middle (Now Magnolia Science Academy San Diego),2005,San Diego,CA,92119,06,08,,,,,,,,,
Magnolia,Magnolia Science Academy - 2 Valley,2007,Reseda,CA,91335,06,08,,,,,,,,,
Magnolia,Magnolia Science Academy - 3 Carson,2008,Gardena,CA,90249,06,07,,,,,,,,,
Magnolia,Magnolia Science Academy - 4 Venice,2008,Venice,CA,90291,06,07,,,,,,,,,
Magnolia,Magnolia Science Academy - 5 Hollywood,2008,Hollywood,CA,90078,06,07,,,,,,,,,
Mastery Charter Schools,Mastery Charter High School - Lenfest Campus,2001,Philadelphia,PA,19106,09,12,,,,,,,,,
Mastery Charter Schools,Mastery Charter School - Shoemaker Campus,2006,Philadelphia,PA,19131,07,09,,,,,,,,,
Mastery Charter Schools,Mastery Charter School - Thomas Campus,2006,Philadelphia,PA,19148,07,10,,,,,,,,,
Mastery Charter Schools,Mastery Charter School - Pickett Campus,2007,Philadelphia,PA,19144,07,08,,,,,,,,,
New City Public Schools,New City School - Long Beach Boulevard,1999,,CA,,,,,,,,,,,,
New City Public Schools,New City School - Pine Avenue,2000,Long Beach,CA,90813,KG,09,,,,,,,,,
New City Public Schools,Colegio New City High School,2008,Long Beach,CA,90813,09,09,,,,,,,,,
New Visions,New Visions Academy - Star Valley,1995,Payson,AZ,85541,09,12,,,,,,,,,
New Visions,New Visions Academy,2001,Cottonwood,AZ,86326,09,12,,,,,,,,,
New Visions,New Visions Academy - St. John'S Campus,2001,Saint Johns,AZ,85936,09,12,,,,,,,,,
Noble Network of Charter Schools,Noble Street Charter High School - Noble Street College Prep,1999,Chicago,IL,60642,09,12,,,,,,,,,
Noble Network of Charter Schools,Noble Street Charter High School - Pritsker,2006,Chicago,IL,60642,09,12,,,,,,,,,
Noble Network of Charter Schools,Noble Street Charter High School - Rauner,2006,Chicago,IL,60622,09,12,,,,,,,,,
Noble Network of Charter Schools,Noble Street Charter High School - Golder College Prep,2007,Chicago,IL,60642,09,12,,,,,,,,,
Noble Network of Charter Schools,Noble Street Charter High School - Rowe-Clark Math & Sciences Academy,2007,Chicago,IL,60651,09,12,,,,,,,,,
Noble Network of Charter Schools,Noble Street Charter High School - Gary Comer College Prep,2008,Chicago,IL,60619,,,,,,,,,,,
Noble Network of Charter Schools,Noble Street Charter High School - Uic College Prep,2008,Chicago,IL,60607,,,,,,,,,,,
Not Your Ordinary School,Nyos Charter School,1998,Austin,TX,78753,04,12,,,,,,,,,
Not Your Ordinary School,Nyos - Magnolia Mccullough Campus,2001,Austin,TX,78753,PK,03,,,,,,,,,
Options for Youth,Options For Youth - Victor Valley,1993,Victorville,CA,92392,07,12,,,,,,,,,
Options for Youth,Options For Youth - Upland,1996,Upland,CA,91786,07,12,,,,,,,,,
Options for Youth,Options For Youth - Burbank Charter,1997,Burbank,CA,91506,07,12,,,,,,,,,
Options for Youth,Options For Youth - San Gabriel,1997,San Gabriel,CA,91776,07,12,,,,,,,,,
Options for Youth,Options For Youth - San Juan,2000,Carmichael,CA,95608,07,12,,,,,,,,,
Partnerships to Uplift Communities,Community Charter Middle,1999,Lakeview Terrace,CA,91342,06,08,,,,,,,,,
Partnerships to Uplift Communities,California Academy For Liberal Studies (CALS Charter Middle),2000,Los Angeles,CA,90017,06,08,,,,,,,,,
Partnerships to Uplift Communities,Lakeview Charter Academy,2004,Lakeview Terrace,CA,91342,06,07,,,,,,,,,
Partnerships to Uplift Communities,Milagro Charter,2004,Los Angeles,CA,90031,KG,05,,,,,,,,,
Partnerships to Uplift Communities,Community Charter Early College High,2005,Lakeview Terrace,CA,91342,09,12,,,,,,,,,
Partnerships to Uplift Communities,Cal Academy For Liberal Studies (CALS Early College High),2005,Los Angeles,CA,90017,09,12,,,,,,,,,
Partnerships to Uplift Communities,Excel Charter Academy,2006,Los Angeles,CA,90031,06,08,,,,,,,,,
Partnerships to Uplift Communities,Triumph Academy,2007,San Fernando,CA,91340,06,08,,,,,,,,,
Perspectives ,Perspectives Calumet Campus - Calumet High School,2007,Chicago,IL,60605,07,11,,,,,,,,,
Perspectives ,Perspectives Calumet Campus - Calumet High School of Technology,2007,Chicago,IL,60620,09,11,,,,,,,,,
Perspectives ,Perspectives Calumet Campus - Calumet Middle School,2007,Chicago,IL,60620,06,08,,,,,,,,,
Perspectives ,Perspectives Charter High School: Rodney D. Joslin Campus,1997,Chicago,IL,60616,06,12,,,,,,,,,
Perspectives ,Perspectives/ IIT Math And Science Academy,2008,Chicago,IL,60653,06,09,,,,,,,,,
PPep Tech,Ppep Tec - Manuel Borjorquez Learning Center,1995,Bisbee,AZ,85603,,,,,,,,,,,
PPep Tech,Ppep Tec - 'Lito' Pena Learning Center,2000,Avondale,AZ,85323,10,12,,,,,,,,,
PPep Tech,Ppep Tec - Celestino Fernandez Learning Center,2000,Tucson,AZ,85714,09,12,,,,,,,,,
PPep Tech,Ppep Tec - Cesar Chavez Learning Center,2000,San Luis,AZ,85349,10,12,,,,,,,,,
PPep Tech,Ppep Tec - Colin L. Powell Learning Center,2000,Sierra Vista,AZ,85635,09,12,,,,,,,,,
PPep Tech,Ppep Tec - John David Arnold Learning Center,2000,Tuscon,AZ,85741,09,12,,,,,,,,,
PPep Tech,Ppep Tec - Raul H. Castro Learning Center,2000,Douglas,AZ,85607,09,12,,,,,,,,,
PPep Tech,Ppep Tec - Victor Soltero Learning Center,2000,Tucson,AZ,85730,09,12,,,,,,,,,
PPep Tech,Ppep Tec - Alice S. Paul Learning Center,2001,Casa Grande,AZ,85222,09,12,,,,,,,,,
PPep Tech,Ppep Tec - Eugene Lopez Learning Center,2001,Willcox,AZ,85643,09,12,,,,,,,,,
PPep Tech,Ppep Tec - Jose Yepez Learning Center,2002,Somerton,AZ,85350,10,12,,,,,,,,,
PPep Tech,Ppec Tec - Robles Junction Learning Center,2005,Tucson,AZ,85736,09,12,,,,,,,,,
Propel,Propel Charter School - Homestead,2003,Homestead,PA,15120,KG,12,,,,,,,,,
Propel,Propel Charter School - East,2005,Turtle Creek,PA,15145,KG,06,,,,,,,,,
Propel,Propel Charter School - Mckeesport,2005,Mckeesport,PA,15132,KG,06,,,,,,,,,
Propel,Propel Charter School - Montour,2007,Pittsburgh,PA,15205,KG,06,,,,,,,,,
School of Excellence in Education,Dr Harmon W Kelley Elementary,1998,San Antonio,TX,78216,KG,03,,,,,,,,,
School of Excellence in Education,Dr James L Burch Intermediate,2000,San Antonio,TX,78216,04,06,,,,,,,,,
School of Excellence in Education,Rick Hawkins High School,2004,San Antonio,TX,78213,09,12,,,,,,,,,
School of Excellence in Education,Dr Paul S Saenz J H,2004,San Antonio,TX,78213,07,08,,,,,,,,,
School of Excellence in Education,Dr David M Copeland El,2006,San Antonio,TX,78216,KG,03,,,,,,,,,
School of Excellence in Education,Dr David C Walker Intermediate,2007,San Antonio,TX,78218,04,06,,,,,,,,,
See Forever Foundation,Maya Angelou Public Charter School - Shaw Campus,1999,Washington,DC,20001,09,12,,,,,,,,,
See Forever Foundation,Maya Angelou Public Charter School - Evans Campus HS,2007,Washington,DC,20011,09,12,,,,,,,,,
See Forever Foundation,Maya Angelou Public Charter School - Middle School Campus,2007,Washington,DC,20019,06,08,,,,,,,,,
Seed Foundation New Campus in Maryland 2008,Seed Public Charter School Of Washington Dc,1999,Washington,DC,20019,07,12,,,,,,,,,
"Shekinah Learning Systems, Inc.",Radiance Academy Of Learning (West Lake Campus),1999,San Antonio,TX,78227,PK,12,,,,,,,,,
"Shekinah Learning Systems, Inc.",Shekinah Radiance Academy - Pearsall,1999,San Antonio,TX,78242,PK,05,,,,,,,,,
"Shekinah Learning Systems, Inc.",Shekinah Hope (Live Oak Academy?),2001,San Antonio,TX,78233,PK,05,,,,,,,,,
"Shekinah Learning Systems, Inc.",Shekinah Walzem,2001,San Antonio,TX,78239,PK,12,,,,,,,,,
"Shekinah Learning Systems, Inc.",Shekinah Radiance Academy Abundant Life,2005,La Marque,TX,77568,KG,12,,,,,,,,,
"Shekinah Learning Systems, Inc.",Radiance Academy Of Learning (Del Rio),2006,Del Rio,TX,78840,06,12,,,,,,,,,
"Shekinah Learning Systems, Inc.",Radiance Academy Of Learning (Daystar),2007,Universal City,TX,78148,KG,05,,,,,,,,,
"Shekinah Learning Systems, Inc.",Radiance Academy Of Learning (International),2007,San Antonio,TX,78228,KG,08,,,,,,,,,
"Shekinah Learning Systems, Inc.",Radiance Academy of Learning: Abundant Life San Antonio Campus,2007,San Antonio,TX,78214,KG,05,,,,,,,,,
"Shekinah Learning Systems, Inc.",Shekinah Radiance Academy - West Columbia,2007,West Columbia,TX,77486,KG,12,,,,,,,,,
"Shekinah Learning Systems, Inc.",Shekinah Radiance Academy - Dallas Center,2008,Seagoville,TX,75179,KG,05,,,,,,,,,
