CMO,School Name,Year Open,City,State,Zip,Low Grade,High Grade,,,,,,,,,
Arthur Academies,Arthur Academy,2002,Portland,OR,97236,KG,05,,,,,,,,,
Arthur Academies,Reynolds Arthur Academy,2004,Troutdale,OR,97060,KG,06,,,,,,,,,
Arthur Academies,Woodburn Arthur Academy,2004,Woodburn,OR,97071,KG,05,,,,,,,,,
Arthur Academies,Portland Arthur Academy Charter School,2005,Portland,OR,97215,KG,05,,,,,,,,,
Arthur Academies,Gresham Arthur Academy,2007,Gresham,OR,97030,KG,04,,,,,,,,,
Arthur Academies,St Helens Arthur Academy,2007,St. Helens,OR,97051,KG,06,,,,,,,,,
Aspira of Florida,Aspira Youth Leadership School,1999,North Miami,FL,33161,06,08,,,,,,,,,
Aspira of Florida,Aspira South Youth Leadership Charter School,2000,Leisure City,FL,33033,06,08, , , ,,,,,,
Aspira of Florida,Aspira Eugenio Maria De Hostos Youth Leadership Charter School,2001,Miami,FL,33132,06,08, , , ,,,,,,
"Aspira, Inc. of Illinois",Aspira - Mirta Ramirez Computer Science High School,2003,Chicago,IL,60647,09,12,,,,,,,,,
"Aspira, Inc. of Illinois",Aspira - Haugen Middle School,2005,Chicago,IL,60625,06,08,,,,,,,,,
"Aspira, Inc. of Illinois",YCCS: Antonia Pantoja - Aspira,2005,Chicago,IL,60641,,,,,,,,,,,
"Aspira, Inc. of Illinois",Aspira - Early College High School,2007,Chicago,IL,60618,09,12,,,,,,,,,
Aspire Public Schools,East Palo Alto Charter,1997,East Palo Alto,CA,94303,KG,08,,,,,,,,,
Aspire Public Schools,Aspire University Charter School,1999,Modesto,CA,95355,KG,05,,,,,,,,,
Aspire Public Schools,University Public,1999,Stockton,CA,95212,KG,05,,,,,,,,,
Aspire Public Schools,Monarch Academy ,2000,Oakland,CA,94603,KG,05,,,,,,,,,
Aspire Public Schools,River Oaks Charter School,2001,Stockton,CA,95210,KG,05,,,,,,,,,
Aspire Public Schools,Wilson (Lionel) College Preparatory Academy,2002,Oakland,CA,94603,06,12,,,,,,,,,
Aspire Public Schools,Benjamin Holt College Preparatory,2003,Stockton,CA,95212,06,12,,,,,,,,,
Aspire Public Schools,Capitol Heights Academy,2003,Sacramento,CA,95817,KG,08,,,,,,,,,
Aspire Public Schools,Antonio Maria Lugo Academy,2005,Huntington Park,CA,90255,KG,05,,,,,,,,,
Aspire Public Schools,Aspire California College Preparatory Academy,2005,Berkeley,CA,94703,07,10,,,,,,,,,
Aspire Public Schools,Berkley Maynard Academy,2005,Oakland,CA,94608,KG,06,,,,,,,,,
Aspire Public Schools,Millsmont Academy,2005,Oakland,CA,94605,KG,05,,,,,,,,,
Aspire Public Schools,Rosa Parks Academy,2005,Stockton,CA,95206,KG,05,,,,,,,,,
Aspire Public Schools,Aspire East Palo Alto Phoenix Academy,2006,East Palo Alto,CA,94303,11,11,,,,,,,,,
Aspire Public Schools,Aspire Langston Hughes Academy,2006,Stockton,CA,95202,06,08,,,,,,,,,
Aspire Public Schools,Centennial College Preparatory,2006,Huntington Park,CA,90255,05,08,,,,,,,,,
Aspire Public Schools,Summit Charter Academy,2006,Modesto,CA,95351,KG,08,,,,,,,,,
Aspire Public Schools,Aspire Clarendon Elementary (Junior Collegiate),2007,Huntington Park,CA,90255,KG,05,,,,,,,,,
Aspire Public Schools,Aspire Millsmont Secondary Academy,2007,Oakland,CA,94605,01,10,,,,,,,,,
Aspire Public Schools,Aspire Port City Academy,2007,Stockton,CA,95202,KG,05,,,,,,,,,
